algorithm,d,B,seed,logZ_alg,logZ_truth,offset
is,5,5000.0,11,-9.679013004254964,-15.083452417752207,5.4044394134972435
is,5,5000.0,23,-10.172960988816117,-15.083452417752207,4.910491428936091
is,5,5000.0,41,-10.444503701518745,-15.083452417752207,4.638948716233463
is,5,5000.0,67,-10.453924499549736,-15.083452417752207,4.629527918202472
is,5,5000.0,97,-8.69399518778536,-15.083452417752207,6.3894572299668475
is,5,50000.0,11,-9.631465621446495,-15.083452417752207,5.451986796305713
is,5,50000.0,23,-8.079031434395432,-15.083452417752207,7.004420983356775
is,5,50000.0,41,-9.956564160641221,-15.083452417752207,5.126888257110986
is,5,50000.0,67,-8.362956072684185,-15.083452417752207,6.720496345068023
is,5,50000.0,97,-9.927372505740443,-15.083452417752207,5.156079912011764
is,5,500000.0,11,-9.356132780974605,-15.083452417752207,5.727319636777603
is,5,500000.0,23,-9.204457469067012,-15.083452417752207,5.878994948685195
is,5,500000.0,41,-7.566062825387906,-15.083452417752207,7.517389592364301
is,5,500000.0,67,-9.548552534406735,-15.083452417752207,5.534899883345473
is,5,500000.0,97,-8.040410766913187,-15.083452417752207,7.043041650839021
mw,5,5000.0,11,-11.497628630846062,-15.083452417752207,3.585823786906145
mw,5,5000.0,23,-11.511250702401687,-15.083452417752207,3.57220171535052
mw,5,5000.0,41,-10.875919061002717,-15.083452417752207,4.20753335674949
mw,5,5000.0,67,-10.938546104875984,-15.083452417752207,4.144906312876223
mw,5,5000.0,97,-11.424210583931023,-15.083452417752207,3.6592418338211843
mw,5,50000.0,11,-9.399979782435521,-15.083452417752207,5.6834726353166864
mw,5,50000.0,23,-9.322153704337293,-15.083452417752207,5.761298713414915
mw,5,50000.0,41,-9.353891902820862,-15.083452417752207,5.729560514931345
mw,5,50000.0,67,-9.362566365183623,-15.083452417752207,5.720886052568584
mw,5,50000.0,97,-9.400918058885747,-15.083452417752207,5.6825343588664605
mw,5,500000.0,11,-9.38125458920459,-15.083452417752207,5.702197828547618
mw,5,500000.0,23,-9.335107397777744,-15.083452417752207,5.7483450199744635
mw,5,500000.0,41,-9.339863741076579,-15.083452417752207,5.743588676675628
mw,5,500000.0,67,-9.349472236338636,-15.083452417752207,5.733980181413571
mw,5,500000.0,97,-9.358073749739091,-15.083452417752207,5.725378668013116
ns,5,5000.0,11,-10.210170751311981,-15.083452417752207,4.873281666440226
ns,5,5000.0,23,-9.818371752963246,-15.083452417752207,5.265080664788961
ns,5,5000.0,41,-8.591225200838634,-15.083452417752207,6.492227216913573
ns,5,5000.0,67,-10.203158603831959,-15.083452417752207,4.8802938139202485
ns,5,5000.0,97,-9.485878464369517,-15.083452417752207,5.597573953382691
ns,5,50000.0,11,-9.658300738001488,-15.083452417752207,5.425151679750719
ns,5,50000.0,23,-10.014588293714361,-15.083452417752207,5.068864124037846
ns,5,50000.0,41,-10.215302167175361,-15.083452417752207,4.868150250576846
ns,5,50000.0,67,-9.941977676193703,-15.083452417752207,5.141474741558504
ns,5,50000.0,97,-10.13105681760533,-15.083452417752207,4.952395600146877
ns,5,500000.0,11,-10.242378472772996,-15.083452417752207,4.841073944979211
ns,5,500000.0,23,-9.711546043065072,-15.083452417752207,5.371906374687136
ns,5,500000.0,41,-9.598050212001812,-15.083452417752207,5.485402205750395
ns,5,500000.0,67,-9.536514853871491,-15.083452417752207,5.546937563880716
ns,5,500000.0,97,-9.790609432402473,-15.083452417752207,5.2928429853497345
