problem,d,B,n_runs,n_stop_T_max,n_stop_budget,n_stop_other,t_stop_median,t_stop_min,t_stop_max,eta_final_median
mvn,2,5000.0,20,0,20,0,4.5,4,5,0.6950182054610929
mvn,2,50000.0,20,20,0,0,20.0,20,20,0.915829194178652
mvn,2,500000.0,20,20,0,0,20.0,20,20,0.8448616809877946
mvn,5,5000.0,20,0,20,0,6.0,5,7,0.4750919195697486
mvn,5,50000.0,20,20,0,0,20.0,20,20,0.7538667177556491
mvn,5,500000.0,20,20,0,0,20.0,20,20,0.5318746079104965
mvn,10,5000.0,20,0,20,0,1.0,1,1,0.34329390669437887
mvn,10,50000.0,20,20,0,0,20.0,20,20,0.29757883845645094
mvn,10,500000.0,20,20,0,0,20.0,20,20,0.11932725301541022
banana,2,5000.0,20,0,20,0,3.0,2,4,0.5970980270581008
banana,2,50000.0,20,20,0,0,20.0,20,20,0.5622321738159343
banana,2,500000.0,20,20,0,0,20.0,20,20,0.5032126433663049
banana,5,5000.0,20,0,20,0,3.0,2,3,0.42666945695451974
banana,5,50000.0,20,20,0,0,20.0,20,20,0.47201264585666214
banana,5,500000.0,20,20,0,0,20.0,20,20,0.3176673506927535
banana,10,5000.0,20,0,20,0,1.0,1,2,0.18361294534497447
banana,10,50000.0,20,20,0,0,20.0,20,20,0.27119901911443006
banana,10,500000.0,20,20,0,0,20.0,20,20,0.1394294297429956
funnel,2,5000.0,20,0,20,0,3.0,2,4,0.4912749127994459
funnel,2,50000.0,20,19,1,0,20.0,20,20,0.48102830242604444
funnel,2,500000.0,20,20,0,0,20.0,20,20,0.42874502315211105
funnel,5,5000.0,20,0,20,0,1.0,1,1,0.040034123070573996
funnel,5,50000.0,20,0,20,0,14.0,11,20,0.42425678845387965
funnel,5,500000.0,20,20,0,0,20.0,20,20,0.26309177956177493
funnel,10,5000.0,20,0,20,0,0.0,0,0,0.006950253205501965
funnel,10,50000.0,20,0,20,0,8.0,7,13,0.043833217414951185
funnel,10,500000.0,20,20,0,0,20.0,20,20,0.14526403458395662
mridges,2,5000.0,20,0,20,0,7.0,6,7,0.7051420045963356
mridges,2,50000.0,20,20,0,0,20.0,20,20,0.6551480661218809
mridges,2,500000.0,20,20,0,0,20.0,20,20,0.5187375105159687
mridges,5,5000.0,20,0,20,0,4.0,3,4,0.05914491846222786
mridges,5,50000.0,20,20,0,0,20.0,20,20,0.3012227066420702
mridges,5,500000.0,20,20,0,0,20.0,20,20,0.08766438117490796
mridges,10,5000.0,20,0,20,0,2.0,1,2,0.004836487963175183
mridges,10,50000.0,20,20,0,0,20.0,20,20,0.007079185187110837
mridges,10,500000.0,20,20,0,0,20.0,20,20,0.019690704836812224
mridges_spiky,5,5000.0,10,0,10,0,4.0,4,5,0.2586277423020825
mridges_spiky,5,50000.0,10,10,0,0,20.0,20,20,0.4279714985746652
mridges_spiky,5,500000.0,10,10,0,0,20.0,20,20,0.23297725103406225
eggbox,2,5000.0,10,0,10,0,5.0,4,7,0.6311623560172879
eggbox,2,50000.0,10,10,0,0,20.0,20,20,0.5900892986907282
eggbox,2,500000.0,10,10,0,0,20.0,20,20,0.5004265281275614
shell,5,5000.0,5,0,5,0,10.0,10,10,0.0001989288298623345
shell,5,50000.0,5,5,0,0,20.0,20,20,8.270619506673783e-5
shell,5,500000.0,5,5,0,0,20.0,20,20,1.6153034314292177e-5
